시군명,사업장명,인허가일자,영업상태명,입소정원(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,평대경로당,19781205,운영중,40,경기도 용인시 처인구 양지면 은이로39번길 17,경기도 용인시 처인구 양지면 남곡리 372번지,17161,37.2263614935,127.2771177450
용인시,역북2통경로당,19800716,운영중,20,,경기도 용인시 처인구 역북동,,37.2433188684,127.1772227553
용인시,미평1리 원일경로당,19800101,운영중,61,,경기도 용인시 처인구 원삼면,,37.1659368352,127.3140533247
용인시,농서동 경로당,19801210,운영중,22,경기도 용인시 기흥구 농서로153번길 9-8,경기도 용인시 기흥구 농서동 111-1번지,17114,37.2232469641,127.0814717412
용인시,금강아파트경로당,20090206,운영중,20,경기도 용인시 처인구 명지로 15-29,경기도 용인시 처인구 역북동 721-2번지,17057,37.2347206827,127.1905455026
용인시,삼가7통경로당,20090204,운영중,35,경기도 용인시 처인구 삼가로 27-11,경기도 용인시 처인구 삼가동 135-5번지,17017,37.2462190822,127.1653275169
용인시,매화마을 우림홀인원 경로당,20040705,운영중,35,경기도 용인시 기흥구 고매로34번길 31,경기도 용인시 기흥구 고매동 880번지,17086,37.2282479101,127.1148304766
용인시,대대3리 경로당,19930630,운영중,20,경기도 용인시 처인구 양지면 한터로662번길 75,경기도 용인시 처인구 양지면 대대리 683-1번지,17155,37.2547136926,127.2785054799
용인시,대우아파트경로당,20081029,운영중,0,,경기도 용인시 기흥구 상하동 대우아파트,,37.2552012416,127.1524966096
용인시,마평14통 경로당,20081030,운영중,22,경기도 용인시 처인구 신송로 149,경기도 용인시 처인구 마평동 88-4번지 102 102동 101호,17150,37.2287510687,127.2474799266
용인시,청덕물푸레2단지경로당,20081112,운영중,43,,경기도 용인시 기흥구 청덕동 물푸레마을2단지 아파트,,37.2974101663,127.1411100335
용인시,죽전누리에뜰경로당,20080421,운영중,25,,경기도 용인시 기흥구 보정동 죽전누리에뜰경로당,,37.3159235873,127.1086541796
용인시,역북19통경로당,20170214,운영중,,,경기도 용인시 처인구 역북동 105동 B02호,,37.2433188684,127.1772227553
용인시,능원2리경로당,19970101,운영중,0,,경기도 용인시 처인구 모현면,,37.3309901316,127.2475852940
용인시,어정마을 롯데캐슬에코1단지(아)경로당,20140203,운영중,50,,경기도 용인시 기흥구 동백동,,37.2785086640,127.1611008815
용인시,성복아이파크(아)경로당,20140324,운영중,30,,경기도 용인시 수지구 성복동 성복아이파크,,37.3206771247,127.0626195092
용인시,쌍용2차C단지경로당,20131230,운영중,22,,경기도 용인시 수지구 상현동,,37.3004420558,127.0753711663
용인시,일산3리경로당,20100128,운영중,34,,경기도 용인시 처인구 모현면 일산리,,37.3541761292,127.2326715766
용인시,용화마을태영데시앙2단지경로당,20131011,운영중,0,,경기도 용인시 기흥구 마북동,,37.3139837463,127.1378350754
용인시,광교스타클래스2차경로당,20130228,운영중,0,,경기도 용인시 수지구 상현동,,37.3004420558,127.0753711663
용인시,학일1리 학일경로당,20000920,운영중,44,,경기도 용인시 처인구 원삼면,,37.1659368352,127.3140533247
용인시,연원마을LG경로당,20000530,운영중,24,,경기도 용인시 기흥구 마북동,,37.3139837463,127.1378350754
용인시,유방5통경로당,20001201,운영중,31,경기도 용인시 처인구 유림로97번길 7-1,경기도 용인시 처인구 유방동 79-6번지,17042,37.2582723141,127.2023724468
용인시,고림 12통(인정피렌체1차) 경로당,20001212,운영중,0,경기도 용인시 처인구 한터로152번길 45,경기도 용인시 처인구 고림동 264-8번지,17149,37.2460748333,127.2309566684
용인시,남사노인회분회,20000930,운영중,28,,경기도 용인시 처인구 남사면,,37.1362428421,127.1550306674
용인시,당하경로당,20000930,운영중,18,,경기도 용인시 처인구 남사면,,37.1362428421,127.1550306674
용인시,내대지마을죽전이편한세상(아)경로당,20040713,운영중,0,경기도 용인시 수지구 대지로 148,경기도 용인시 수지구 죽전동 1119번지 19통,16881,37.3287915482,127.1258563515
용인시,신명스카이뷰 경로당,20040908,운영중,30,,경기도 용인시 수지구 동천동 502동 신명스카이뷰 경로당,,37.3450284213,127.0833025733
용인시,신봉마을 LG빌리지5차 B단지(아) 경로당,20030801,운영중,35,경기도 용인시 수지구 신봉1로 110,경기도 용인시 수지구 신봉동 871번지,16814,37.3254546795,127.0749438787
용인시,신봉2통 경로당,19920124,운영중,33,경기도 용인시 수지구 신봉1로 318,경기도 용인시 수지구 신봉동 576-2번지,16803,37.3327274225,127.0548545934
용인시,동일하이빌3단지 경로당,20170615,운영중,23,,경기도 용인시 수지구 신봉동 신봉마을동일하이빌3단지,,37.3309607013,127.0736289770
용인시,광교산 한양수자인더킨포크 경로당,20171220,운영중,,,경기도 용인시 수지구 신봉동,,37.3309607013,127.0736289770
용인시,신봉마을 LG자이1차(아) 경로당,20040713,운영중,63,경기도 용인시 수지구 신봉2로 26,경기도 용인시 수지구 신봉동 873번지,16817,37.3262005238,127.0781601606
