행정구역,총인구수,연령구간인구수,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
덕천제1동,"11,016","6,315",913,"1,024","1,348","1,061",779,508,397,203,70,8,4
덕천제2동,"11,936","6,291","1,031","1,112","1,353","1,089",679,494,325,142,49,17,0
덕천제3동,"10,693","5,863",904,959,"1,165",990,778,514,312,195,35,10,1
만덕제1동,"16,608","7,078","1,153","1,410","1,612","1,210",808,444,279,115,41,6,0
만덕제2동,"26,423","11,710","2,163","2,169","2,588","2,027","1,221",765,461,218,79,19,0
만덕제3동,"18,607","9,232","1,497","1,717","2,209","1,657",957,600,366,153,58,16,2
해운대구,"393,533","174,757","36,490","32,204","33,423","26,094","18,163","12,830","9,222","4,494","1,503",292,42
우제1동,"22,104","10,409","1,952","1,820","1,979","1,644","1,258",835,550,261,94,15,1
우제2동,"30,407","12,504","2,934","2,398","2,293","1,718","1,231",861,620,306,108,30,5
우제3동,"28,623","11,522","2,552","2,176","2,310","1,650","1,102",765,548,288,96,32,3
중제1동,"27,492","11,200","2,657","2,154","2,061","1,507","1,068",799,576,273,91,12,2
중제2동,"15,697","6,813","1,442","1,297","1,411","1,070",660,445,288,126,61,13,0
좌제1동,"17,994","6,998","1,861","1,335","1,195",766,572,516,433,237,75,6,2
좌제2동,"31,839","12,870","2,956","2,680","2,392","1,687","1,071",870,679,382,127,23,3
좌제3동,"16,068","7,376","1,572","1,375","1,359",968,678,549,509,256,94,14,2
좌제4동,"23,050","9,321","2,373","1,877","1,703","1,136",746,613,512,258,85,16,2
송정동,"9,825","5,228",842,826,"1,057",926,613,411,321,162,54,14,2
반여제1동,"34,393","14,406","3,396","2,854","2,757","2,048","1,414",877,602,327,110,18,3
반여제2동,"12,553","7,068","1,116","1,134","1,372","1,162",931,650,442,200,51,8,2
반여제3동,"8,497","5,117",782,819,"1,028",855,611,471,356,151,38,6,0
반여제4동,"16,045","6,929","1,474","1,422","1,444","1,135",673,378,242,115,36,8,2
반송제1동,"13,568","8,350","1,249","1,307","1,454","1,336","1,127",893,627,268,71,16,2
반송제2동,"23,134","13,876","1,879","2,102","2,705","2,450","1,862","1,338",948,403,151,32,6
재송제1동,"37,662","12,818","3,234","2,332","2,420","1,929","1,292",834,452,226,80,16,3
재송제2동,"24,582","11,952","2,219","2,296","2,483","2,107","1,254",725,517,255,81,13,2
사하구,"304,464","144,376","26,688","26,082","29,588","23,429","15,988","10,886","7,129","3,201","1,127",233,25
괴정제1동,"19,429","9,974","1,682","1,627","1,902","1,628","1,190",908,613,289,106,26,3
괴정제2동,"13,939","7,002","1,154","1,063","1,335","1,284",928,614,384,172,58,10,0
괴정제3동,"12,398","6,783","1,010","1,047","1,371","1,226",835,639,392,193,57,13,0
괴정제4동,"12,185","6,083","1,023",968,"1,235","1,075",758,481,332,150,52,7,2
당리동,"26,452","12,804","2,288","2,332","2,678","2,135","1,435",938,595,278,110,14,1
하단제1동,"21,436","9,473","1,808","1,766","2,022","1,483","1,002",649,465,196,68,12,2
하단제2동,"25,213","10,198","2,077","1,917","2,085","1,585","1,028",759,474,191,63,15,4
신평제1동,"16,827","8,468","1,513","1,526","1,741","1,382",992,633,458,156,58,7,2
신평제2동,"15,687","6,943","1,431","1,422","1,572","1,035",677,381,230,135,55,5,0
장림제1동,"10,666","4,566",902,827,891,711,566,340,221,85,22,1,0
장림제2동,"27,231","12,017","2,426","2,345","2,553","1,963","1,250",776,447,180,61,15,1
다대제1동,"38,638","17,456","3,652","3,327","3,523","2,579","1,713","1,269",813,404,140,36,0
다대제2동,"27,203","13,795","2,558","2,582","2,914","2,191","1,404",952,680,365,118,27,4
구평동,"12,872","4,780","1,018",981,"1,019",753,494,259,151,60,33,10,2
감천제1동,"18,410","10,051","1,618","1,777","2,085","1,773","1,175",805,513,208,77,19,1
감천제2동,"5,878","3,983",528,575,662,626,541,483,361,139,49,16,3
금정구,"226,816","110,549","19,099","19,575","21,701","17,725","12,819","9,049","6,318","3,051",988,197,27
서제1동,"5,253","3,369",458,527,678,578,423,331,230,116,26,2,0
서제2동,"9,148","5,392",761,983,"1,221",940,650,413,275,112,32,4,1
서제3동,"11,160","6,752",965,"1,177","1,409","1,102",878,605,417,146,47,6,0
금사회동동,"7,821","4,844",635,835,"1,019",893,630,416,285,92,30,7,2
부곡제1동,"8,170","4,881",646,718,884,854,721,492,337,172,50,7,0
부곡제2동,"17,912","8,196","1,568","1,474","1,594","1,271",863,654,442,232,76,20,2
부곡제3동,"15,714","7,087","1,401","1,284","1,383","1,141",739,443,390,220,72,14,0
부곡제4동,"12,785","6,932","1,053","1,125","1,350","1,261",924,623,387,152,47,9,1
장전제1동,"17,948","5,933","1,112","1,063","1,102",890,701,479,338,178,58,11,1
장전제2동,"26,517","10,190","1,976","1,691","1,863","1,533","1,141",907,612,314,122,26,5
선두구동,"2,311","1,512",194,259,310,241,178,136,114,58,16,4,2
청룡노포동,"9,687","5,474",767,947,990,934,718,501,352,196,50,18,1
남산동,"28,731","15,102","2,699","2,672","2,962","2,332","1,664","1,314",883,419,122,29,6
