관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26350-00050,구덕포공원,소공원,,부산광역시 해운대구 송정동 산67-5번지일원,35.1733406,129.1891365,1015,,,,,,2006-02-15,부산광역시 해운대구,,2022-04-11
26350-00051,미소공원,어린이공원,,부산광역시 해운대구 좌동순환로433번길 32(중동),35.1616177,129.1707266,5058.9,,,,,,2006-06-07,부산광역시 해운대구,,2022-04-11
26350-00052,꿈누리공원,어린이공원,,부산광역시 해운대구 반여동 295 일원,35.2134348,129.1195584,1545,,,,,,2006-12-27,부산광역시 해운대구,,2022-04-11
26350-00053,가온공원,어린이공원,,부산광역시 해운대구 반여동 751-8 일원,35.2112867,129.1169609,2002,,,,,,2006-12-27,부산광역시 해운대구,,2022-04-11
26350-00054,수피아공원,어린이공원,,부산광역시 해운대구 반송동 525 일원,35.2371466,129.1325936,1500,,,,,,2007-08-22,부산광역시 해운대구,,2022-04-11
26350-00055,어린이공원,어린이공원,,부산광역시 해운대구 우동263-2 일원,35.169964,129.1530443,6482,,,,,,2007-09-12,부산광역시 해운대구,,2022-04-11
26350-00056,석대동어린이공원,어린이공원,,부산광역시 해운대구 반송동 440-3 일원,35.2275332,129.1356696,2495,,,,,,2007-11-14,부산광역시 해운대구,,2022-04-11
26350-00057,석대동어린이공원,어린이공원,,부산광역시 해운대구 반송동 321-3 일원,35.2275332,129.1356696,2338,,,,,,2007-11-14,부산광역시 해운대구,,2022-04-11
26350-00058,소공원,소공원,,부산광역시 해운대구 중동 1083-7 일원,35.1600305,129.1616058,928,,,,,,2008-06-11,부산광역시 해운대구,,2022-04-11
26350-00059,소공원,소공원,,부산광역시 해운대구 해운대해변로298번길 32(중동),35.1610572,129.1645903,4849,,,,,,2008-06-11,부산광역시 해운대구,,2022-04-11
26350-00060,소공원,소공원,,부산광역시 해운대구 해운대로76번길 90-7(반여동),35.1914571,129.1084126,795,,,,,,2009-08-12,부산광역시 해운대구,,2022-04-11
26350-00061,소공원,소공원,,부산광역시 해운대구 중동 1074-1 일원,35.1612648,129.1605347,2881,,,,,,2009-12-09,부산광역시 해운대구,,2022-04-11
26350-00062,초록공원,근린공원,,부산광역시 해운대구 반여3동 산110-2번지 일원,35.2033471,129.1280857,28006,,,,,,2009-12-23,부산광역시 해운대구,,2022-04-11
26350-00063,재송소공원,소공원,,부산광역시 해운대구 재송동 산51,35.1878414,129.1322709,8679,,,,,,2009-12-23,부산광역시 해운대구,,2022-04-11
26350-00064,소공원(951),소공원,,부산광역시 해운대구 반송로513번길 66-16(석대동),35.2261652,129.1227427,662.6,,,,,,2010-05-26,부산광역시 해운대구,,2022-04-11
26350-00065,해운대수목원,근린공원,,부산광역시 해운대구 석대동 24번지 일원,35.2297418,129.1256921,628275,,,,,,2011-02-09,부산광역시 해운대구,,2022-04-11
26350-00066,아이파크공원,어린이공원,,부산광역시 해운대구 우동 1408-2,35.1577488,129.1434158,4893,,,,,,2011-02-16,부산광역시 해운대구,,2022-04-11
26350-00067,소공원,소공원,,부산광역시 해운대구 우동 1407-12,35.15731827,129.1441783,2914.8,,,,,,2011-02-16,부산광역시 해운대구,,2022-04-11
26350-00068,소공원,소공원,,부산광역시 해운대구 우동 1407-13,35.15589121,129.14594,2710.2,,,,,,2011-02-16,부산광역시 해운대구,,2022-04-11
26350-00069,소공원,소공원,,부산광역시 해운대구 중동1로17번길 15-10(우동),35.1643689,129.1533554,393,,,,,,2011-08-24,부산광역시 해운대구,,2022-04-11
26350-00070,반송근린공원,근린공원,,부산광역시 해운대구 반송동 844-2,35.22024108,129.1592756,89840,,,,,,2017-06-21,부산광역시 해운대구,,2022-04-11
